"","Value","Freq","Count","CLASSNAMES","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"60",164,5567,58918146,"Tree Cover = 64%",31,121,54,0.121568627,0.474509804,0.211764706,1238,3.6
"61",165,5778,92045945,"Tree Cover = 65%",25,119,55,0.098039216,0.466666667,0.215686275,1285,3.7
"62",166,5547,46599056,"Tree Cover = 66%",18,117,57,0.070588235,0.458823529,0.223529412,1234,3.6
"63",167,5046,52048710,"Tree Cover = 67%",12,115,58,0.047058824,0.450980392,0.22745098,1122,3.3
"64",168,4229,50476752,"Tree Cover = 68%",5,113,59,0.019607843,0.443137255,0.231372549,941,2.7
"65",169,3442,56630166,"Tree Cover = 69%",1,111,59,0.003921569,0.435294118,0.231372549,765,2.2
"66",170,2630,60247277,"Tree Cover = 70%",5,108,56,0.019607843,0.423529412,0.219607843,585,1.7
"67",171,2019,64736040,"Tree Cover = 71%",10,105,53,0.039215686,0.411764706,0.207843137,449,1.3
"68",172,1460,73461855,"Tree Cover = 72%",14,102,50,0.054901961,0.4,0.196078431,325,0.9
"69",173,1054,85671329,"Tree Cover = 73%",19,99,47,0.074509804,0.388235294,0.184313725,234,0.7
"70",174,743,70640964,"Tree Cover = 74%",23,95,43,0.090196078,0.37254902,0.168627451,165,0.5
"71",175,577,111573949,"Tree Cover = 75%",27,92,40,0.105882353,0.360784314,0.156862745,128,0.4
"72",176,305,80941492,"Tree Cover = 76%",32,89,37,0.125490196,0.349019608,0.145098039,68,0.2
"73",177,235,75012727,"Tree Cover = 77%",36,86,34,0.141176471,0.337254902,0.133333333,52,0.2
"74",178,194,70312103,"Tree Cover = 78%",33,85,34,0.129411765,0.333333333,0.133333333,43,0.1
"75",179,122,58184501,"Tree Cover = 79%",29,85,36,0.11372549,0.333333333,0.141176471,27,0.1
"76",180,68,53296555,"Tree Cover = 80%",25,85,37,0.098039216,0.333333333,0.145098039,15,0
"77",181,49,45540617,"Tree Cover = 81%",20,85,38,0.078431373,0.333333333,0.149019608,11,0
"78",182,18,36441038,"Tree Cover = 82%",16,84,40,0.062745098,0.329411765,0.156862745,4,0
"79",183,9,33185805,"Tree Cover = 83%",11,84,41,0.043137255,0.329411765,0.160784314,2,0
